operator_id,total_calls,missed_calls,missed_call_rate,avg_waiting_time,outbound_calls,internal_call_rate,avg_call_duration,classification
919198,1113,471,0.42318059299191374,1126.9712488769092,1113,0.0,2320.6495956873314,Muy ineficaz
919200,1297,598,0.4610639938319198,1249.373168851195,1297,0.0030840400925212026,3956.3384734001543,Muy ineficaz
919202,2853,1190,0.4171048019628461,1632.4318261479145,2853,0.0,5076.005958640028,Muy ineficaz
919204,1318,13,0.009863429438543247,1011.8414264036419,9,0.0,10178.02124430956,Ineficaz parcial
919206,1000,12,0.012,673.879,1,0.0,3026.127,Ineficaz parcial
919214,22,1,0.045454545454545456,57.04545454545455,1,0.045454545454545456,266.3181818181818,Eficiente
919218,325,164,0.5046153846153846,274.19384615384615,304,0.10153846153846154,756.4553846153846,Muy ineficaz
919302,2528,1178,0.46598101265822783,1922.2915348101267,2528,0.0,7593.806170886076,Muy ineficaz
919306,1664,712,0.42788461538461536,1613.1911057692307,1664,0.0,5369.030048076923,Muy ineficaz
919310,2569,985,0.38341767224601014,1431.9093032308292,2569,0.0,2494.9209809264307,Ineficaz parcial
919314,2794,1288,0.4609878310665712,2289.014316392269,2794,0.0007158196134574087,3361.5905511811025,Muy ineficaz
919318,1846,995,0.5390032502708559,1696.9512459371615,1846,0.0,1146.3656554712893,Muy ineficaz
919362,2546,1276,0.5011783189316575,2073.5353495679497,2546,0.0,4551.97879025923,Muy ineficaz
919364,5096,2964,0.5816326530612245,3059.453296703297,5096,0.0,2157.796703296703,Muy ineficaz
919370,1324,641,0.48413897280966767,1353.4728096676738,1324,0.0,3749.9380664652567,Muy ineficaz
919372,1627,818,0.5027658266748617,1902.6256914566686,1627,0.0,1554.3921327596804,Muy ineficaz
919374,2214,1037,0.46838301716350494,1873.3590785907859,2214,0.0,2520.2488708220417,Muy ineficaz
919376,1415,522,0.36890459363957595,1272.0678445229682,1415,0.0007067137809187279,4256.051590106007,Ineficaz parcial
919378,1227,684,0.5574572127139364,1549.4441727791361,1227,0.0,2015.1898940505298,Muy ineficaz
919382,1827,1189,0.6507936507936508,1634.7536945812808,1827,0.0,957.9096880131362,Muy ineficaz
919390,831,507,0.6101083032490975,1256.352587244284,831,0.0,844.6835138387485,Muy ineficaz
919418,2,2,1.0,10.0,2,0.0,0.0,Ineficaz parcial
919456,1517,804,0.5299934080421885,1461.3124588002636,1517,0.0,2116.2537903757416,Muy ineficaz
919464,1296,660,0.5092592592592593,1283.4992283950617,1296,0.0,2773.1496913580245,Muy ineficaz
